"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"ALEXANDER CO WTR DIST","","","","12,587","Surface water purchased","PO BOX 398
HICKORY, NC 28603","828-323-7427","",""
"ALEXANDER MISSIONARY BAPT CH","","","","75","Ground water","1179 OLD HWY 20
ALEXANDER, NC 28701","","",""
"ALEXIS BAPTIST CHURCH","","","","325","Ground water","PO BOX 39
ALEXIS, NC 28006","704-263-2301","",""
"ALL SAINTS ANGLICAN CHURCH","","","","75","Ground water","15 MCDOWELL RD
MILLS RIVER, NC 28759","828-891-7216","",""
"ALL STAR MHP","","","","530","Ground water","2054 KILDAIRE FARM RD #413
CARY, NC 27518","919-924-8907","",""
"ALL-SPEC INDUSTRIES INC","","","","26","Ground water","5228 US HWY 421
WILMINGTON, NC 28401","910-332-0472","",""
"ALLEN & SONS BBQ","","","","100","Ground water","1924 MT SINAI ROAD
CHAPEL HILL, NC 27514","919-929-5727","",""
"ALLEN CHAPEL BAPTIST CHURCH","","","","125","Ground water","PO BOX 670
ENVIROLINK
BAILEY, NC 27807","252-235-4900","",""
"ALLEN FISHING AREA","","","","25","Ground water","EC 12Q/PO BOX 1006
CHARLOTTE, NC 28201-1006","704-382-8849","",""
"ALLEN MHP","","","","64","Ground water","2542 LINCOLNTON HWY BOX 30
CHERRYVILLE, NC 28021","980-429-0450","",""
"ALLEN WOODS VILLAGE","","","","81","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"ALLENDALE HEIGHTS","","","","78","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"ALLIGATOR RIVER MARINA","","","","100","Ground water","PO BOX 307
MANTEO, NC 27954","252-796-0333","",""
"ALLISON WOODS FAMILY PARTNERSHIP","","","","25","Ground water","PO BOX 211
STATESVILLE, NC 28687-0211","","",""
"ALMOND BOAT PARK & RV","","","","64","Ground water","1165 BOAT PARK RD
BRYSON CITY, NC 28713","828-488-6423","",""
"ALSTON CHAPEL UNITED HOLY CHURCH","","","","175","Ground water","108 MILLKEN RD
PITTSBORO, NC 27312","919-444-3845","",""
"ALTAMAHAW BAPTIST DAYCARE","","","","62","Ground water","3445 ALTAMAHAW CHURCH ST
ALTAMAHAW BAPTIST CHILD CARE
ELON, NC 27244","336-584-5949","",""
"ALTAMAHAW-OSSIPEE ELEM SCHOOL","","","","661","Ground water","307 PRISON CAMP ROAD
GRAHAM, NC 27253","336-570-6482","",""
"ALTAMONT METHODIST CHURCH","","","","50","Ground water","PO BOX 366
NEWLAND, NC 28657","828-733-5442","",""
"ALTAPASS BAPTIST CHURCH","","","","120","Ground water","94 ALTAPASS TRAIL
SPRUCE PINE, NC 28777","828-765-0660","",""
"ALTICE ESTATES S/D","","","","320","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"AMAZING GRACE BAPTIST CHURCH","","","","25","Ground water","1053 BLEVINS STORE RD
MT AIRY, NC 27030","","",""
"AMBER ACRES","","","","239","Ground water","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"AMBER ACRES NORTH S/D","","","","752","Ground water","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"AMBER RIDGE S/D","","","","742","Ground water","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"AMERICAN TRUETZSCHLER INC","","","","60","Ground water","12300 MOORES CHAPEL RD
CHARLOTTE, NC 28214","704-399-4521","",""
"AMHERST S/D","","","","325","Ground water","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"AMIS CHAPEL BAPTIST CHURCH","","","","175","Ground water","1632 Grassy Creek Virgilina Road
OXFORD, NC 27565","919-693-6074","",""
"AMITY BAPTIST CHURCH","","","","90","Ground water","5056 STAGE COACH ROAD
IRON STATION, NC 28080","704-240-9709","",""
"AMITY HILLS BAPTIST CHURCH","","","","25","Ground water","PO BOX 3322
ASHEBORO, NC 27204","336-629-3767","",""
"AMY ACRES S/D","","","","483","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"ANCHOR BAPTIST","","","","300","Ground water","3232 HENDERSONVILLE HWY
PISGAH FOREST, NC 28768","828-884-7610","",""
"ANCHORED IN JESUS BAPTIST","","","","100","Ground water","P. O. BOX 822
DOBSON, NC 27017","","",""
"ANCHORS BEND MARINA","","","","75","Ground water","3301 BENSON DR
SUITE 103
RALEIGH, NC 27609","919-239-8235","",""
"ANDERSEN ENERGY INC","","","","88","Ground water","3151 CAROLINE DR
HAW RIVER, NC 27258","336-376-3000","",""
"ANDERSON COMMUNITY PARK","","","","25","Ground water","301 W MAIN STREET
CARRBORO, NC 27510","","",""
"ANDREW TYSON FARMS MLC","","","","65","Ground water","906 EVANS RD
NASHVILLE, NC 27856","252-459-9545","",""
"ANDREWS MEMORIAL BAPTIST CH","","","","25","Ground water","2136 HAFFIN MILL RD
MCCLEANSVILLE, NC 27301","","",""
"ANDREWS, TOWN OF","","","","3,359","Surface water","PO BOX 1210
ANDREWS, NC 28901","828-321-3126","",""
"ANGIER, TOWN OF","","","","7,612","Surface water purchased","PO BOX 278
ANGIER, NC 27501","919-639-2324","",""
"ANITOCH BAPTIST CHURCH","","","","55","Ground water","16920 STOKES FERRY RD
C/O ANTIOCH BAPTIST CHURCH
RICHFIELD, NC 28137","704-463-7502","",""
"ANNE LOUISE WILKERSON NATURE PRESERVE","","","","25","Ground water","222 WEST HARGETT STREET
ATTN: CHAD BOUFFIOU
RALEIGH, NC 27601","919-996-3285","",""
"ANSON COUNTY WATER SYSTEM","","","","13,380","Surface water","907 N WASHINGTON ST
UTILITIES DIR
WADESBORO, NC 28170","704-694-5208","",""
"ANSONVILLE WATER SYSTEM","","","","1,262","Surface water purchased","PO BOX 437
ANSONVILLE, NC 28007","704-826-8404","",""
"ANTIOCH BAPTIST CHURCH","","","","25","Ground water","PO BOX 1969
OXFORD, NC 27565","919-693-4581","",""
"ANTIOCH BAPTIST CHURCH","","","","50","Ground water","124 HOLCOMBE BRANCH ROAD
WEAVERVILLE, NC 28787","828-712-8066","",""
"ANTIOCH BAPTIST CHURCH","","","","100","Ground water","170 OLD TRAM ROAD
WHITEVILLE, NC 28472","910-640-1467","",""
"ANTIOCH BAPTIST CHURCH","","","","80","Ground water","2177 FR COFFEY RD
MORGANTON, NC 28655","828-430-0096","",""
"ANTIOCH BAPTIST CHURCH","","","","50","Ground water","1355 KIRKPATRICK RD
BURLINGTON, NC 27215","","",""
"ANTIOCH BAPTIST CHURCH","","","","350","Ground water","542 IRON DUFF RD
WAYNESVILLE, NC 28785","828-627-1200","",""
"ANTIOCH BAPTIST CHURCH","","","","50","Ground water","1707 WHITE CROSS RD
CHAPEL HILL, NC 27516","919-929-2230","",""
"ANTIOCH BAPTIST CHURCH","","","","45","Ground water","968 TRIPLETTE RD
CLEVELAND, NC 27013","704-528-3123","",""
"APEX, TOWN OF","","","","50,394","Surface water purchased","PO BOX 250
APEX, NC 27502","919-249-3536","",""
"APOLLO CAMPGROUND #1","","","","40","Ground water","4275 MOREHEAD RD
CONCORD, NC 28027","704-455-2409","",""
"APOLLO CAMPGROUND #2","","","","30","Ground water","4275 MOREHEAD RD
CONCORD, NC 28027","704-455-2409","",""
"APOSTOLIC LUTHERAN CHURCH","","","","25","Ground water","6024 CHECKER RD
HIGH POINT, NC 27263","336-431-5852","",""
"APPALACHIAN ADVENT CHRIST CG","","","","80","Ground water","2060 TALL OAK DR
LENOIR, NC 28645","","",""
"APPALACHIAN EFFICIENCIES","","","","25","Ground water","PO BOX 123
BOONE, NC 28607","828-406-5354","",""
"APPALACHIAN SKI MTN","","","","25","Ground water","PO BOX 106
BLOWING ROCK, NC 28605","828-295-7828","",""
"APPALACHIAN STATE UNIV WTP","","","","11,150","Surface water","265 DALE ST
APPALACHIAN ST UNIVERSITY
BOONE, NC 28608","828-262-3190","",""
"APPALCART TRANSIT FACILITY","","","","93","Ground water","305 NC HWY 105 BYPASS
BOONE, NC 28607","828-297-1300","",""
"APPLEGATE WATER SYSTEM","","","","429","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"APPLETREE GROUP CAMP","","","","150","Ground water","90 SLOAN RD
C/O USFS NANTAHALA RANGER DISTRICT
FRANKLIN, NC 28734","828-524-6441","",""
"APPLIED PLASTIC SERVICES INC","","","","25","Ground water","5932 OLD LAKE RD
BOLTON, NC 28423","910-655-4357","",""
"ARBA WATER CORPORATION","","","","203","Surface water purchased","4114 HULL ROAD
SNOW HILL, NC 28580","","",""
"ARBOR DALE PRESBYTERIAN CH","","","","50","Ground water","PO BOX 235
BANNER ELK, NC 28604","828-898-4628","",""
"ARBOR HILL MHP","","","","90","Ground water","4228 US HWY 70E
DURHAM, NC 27705","919-768-2921","",""
"ARBOR RUN/CHARLES PLACE S/D","","","","574","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"ARCHDALE, CITY OF","","","","12,600","Surface water purchased","P O BOX 14068
ARCHDALE, NC 27263","336-434-7364","",""
"ARCHDALE/TRYON MHP","","","","74","Ground water","726 GASTONIA HWY
BESSEMER CITY, NC 28016","704-629-5388","",""
"ARDIS CHAPEL AME ZION CHURCH","","","","30","Ground water","306 CEDAR DRIVE
SALISBURY, NC 28147","704-638-2324","",""
"ARLINGTON BAPTIST CHURCH INC","","","","350","Ground water","9419 BARTLETT RD
CHARLOTTE, NC 28227","","",""
"ARMFIELD S/D PHASE IA","","","","132","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"ARMFIELD S/D PHASE IB","","","","86","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"ARROW SPRINGS","","","","53","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"ARROWHEAD CAMPGROUND","","","","100","Ground water","160-A ZILLICOA ST
US FOREST SERVICE - ASHEVILLE
ASHEVILLE, NC 28801-1082","828-257-4231","",""
"ARTHUR MORGAN SCHOOL","","","","42","Ground water","60 AMS CIRCLE
BURNSVILLE, NC 28714","828-675-4262","",""
"ASBURY METHODIST CHURCH","","","","25","Ground water","4613 OLD US HWY 421
HAMPTONVILLE, NC 27020-8385","","",""
"ASHE BAPTIST SUMMER CAMP","","","","30","Ground water","PO BOX 850
JEFFERSON, NC 28640","336-846-5631","",""
"ASHE COUNTY MIDDLE SCHOOL","","","","550","Ground water","PO BOX 604, 320 SOUTH STREET
JEFFERSON, NC 28640","336-246-7175","",""
"ASHE COUNTY PARK","","","","25","Ground water","626 ASHE CENTRAL SCHOOL RD.
JEFFERSON, NC 28640","336-982-6185","",""
"ASHEBORO CONG JEHOVAH WITNESS","","","","25","Ground water","4336 US HWY 64 E
ASHBORO-CONG JEHOVAH WITNESS
ASHEBORO, NC 27203","","",""
"ASHEBORO COUNTRY CLUB ESTATES","","","","26","Ground water","4700 HOMEWOOD CT SUITE 108
C/O OLD NORTH STATE WATER CO
RALEIGH, NC 27609","919-971-3469","",""
"ASHEBORO COUNTRY CLUB INC","","","","25","Ground water","5150 OLD LEXINGTON RD
ASHEBORO, NC 27205","800-697-2143","",""
"ASHEBORO, CITY OF","","","","25,761","Surface water","PO BOX 1106
ASHEBORO, NC 27204","336-626-1201","",""
"ASHEBROOK PARK","","","","239","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"ASHEBROOK S/D","","","","48","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"ASHEBROOK WOODS","","","","96","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"ASHEVILLE ACADEMY FOR GIRLS","","","","75","Ground water","126 CAMP ELLIOTT ROAD
BLACK MOUNTAIN, NC 28711","828-419-8100","",""
"ASHEVILLE ACADEMY FOR GIRLS- CABINS","","","","75","Ground water","126 CAMP ELLIOTT ROAD
BLACK MOUNTAIN, NC 28711","828-419-8100","",""
"ASHEVILLE CITY OF","<a href=""javascript:popURL('http://www.ashevillenc.gov/departments/water_services/default.aspx?id=556&ekmensel=12_submenu_0_link_14');"">http://www.ashevillenc.gov/departments/water_services/default.aspx?id=556&ekmensel=12_submenu_0_link_14</a>&nbsp;<a class=""exit-disclaimer"" title=""EPA's External Link Disclaimer"" href=""http://www2.epa.gov/home/exit-epa"">Exit</a>","","","124,300","Surface water","PO BOX 7148
ASHEVILLE, NC 28802","828-259-5959","",""
"ASHLEY GROVE BAPTIST CHURCH","","","","25","Ground water","339 EARNEST TURNER RD
WARRENTON, NC 27589","252-438-8718","",""
"ASHLEY HILLS NORTH S/D","","","","602","Ground water","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"ASHLEY HILLS S/D","","","","436","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"ASHLEY WOODS S/D","","","","97","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"ASHWORTH ROAD BAPTIST CHURCH","","","","50","Ground water","P O BOX 734
MARION, NC 28752","","",""
"ASPEN GROVE FWB CHURCH","","","","50","Ground water","1812 OAKDALE DRIVE
WILSON, NC 27893","","",""
"ATLANTIC BEACH, TOWN OF","","","","6,380","Ground water","PO BOX 1094
TOWN OF ATLANTIC BEACH
ATLANTIC BEACH, NC 28512","252-726-1366","",""
"ATLANTIC ELEMENTARY","","","","140","Ground water","107 SAFRIT DR
BEAUFORT, NC 28516","252-728-6115","",""
"ATLANTIC MHP","","","","113","Ground water","493 MASON TOWN RD
NEWPORT, NC 28570","","",""
"ATLANTIC MHP II","","","","106","Ground water","493 MASON TOWN RD
NEWPORT, NC 28570","","",""
"ATLANTIC VENEER CORP","","","","125","Ground water","PO BOX 660
BEAUFORT, NC 28516","252-728-3169","",""
"ATLANTIC VILLAGE MHP","","","","175","Ground water","493 MASON TOWN RD
NEWPORT, NC 28570","","",""
"AUBURN ESTATES","","","","98","Ground water","7300 BATTLE BRIDGE ROAD
RALEIGH, NC 27610","","",""
"AUBURN HILLS S/D","","","","92","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"AUBURNDALE S/D","","","","53","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"AULANDER, TOWN OF","","","","1,438","Ground water","PO BOX 100
AULANDER, NC 27805","252-345-3541","",""
"AULDERN ACADEMY","","","","75","Ground water","990 GLOVERS GROVE CHURCH RD
SILER CITY, NC 27344","919-837-2336","",""
"AURORA WATER SYSTEM","","","","502","Ground water","PO BOX 86
AURORA, NC 27806","252-322-5208","",""
"AUSTIN COMMUNITY CENTER","","","","25","Ground water","710 BEECH ST
N WILKESBORO, NC 28659-4515","336-667-7174","",""
"AUTRYVILLE, TOWN OF","","","","472","Ground water purchased","PO DRAWER 10
AUTRYVILLE, NC 28318","910-525-4567","",""
"AUTUMN ACRES S/D","","","","84","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"AUTUMN FOREST MHP","","","","404","Ground water","4100 US HWY 29 NORTH #84
GREENSBORO, NC 27405","336-542-5952","",""
"AVALON ACRES MHP","","","","65","Ground water","PO BOX 1796
FAIRVIEW, NC 28730","828-702-3912","",""
"AVILA RETREAT CENTER","","","","25","Ground water","711 MASON RD
DURHAM, NC 27712","919-477-1285","",""
"AVOCET S/D","","","","287","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"AYDEN TOWN OF","","","","5,100","Surface water purchased","PO BOX 219
AYDEN, NC 28513","252-253-9938","",""
"AYERSVILLE BAPTIST CHURCH","","","","25","Ground water","673 MEANS CREEK RD
MAYODAN, NC 27027","","",""
"AZALEA HILLS MHP","","","","80","Ground water","PO BOX 670
PINEVILLE, NC 28134","704-800-7199","",""
"AZALEA WALK","","","","25","Ground water","706 MEETING STREET
CHARLESTON, SC 29403","843-371-4564","",""
"B EVERETT JORDAN ELEM SCHOOL","","","","427","Ground water","307 PRISON CAMP ROAD
GRAHAM, NC 27253","336-570-6482","",""
"B H CORPENING TRAINING CENTER","","","","60","Ground water","6065 LINVILLE FALLS HIGHWAY
NEWLAND, NC 28657","828-733-4242","",""
"B SCOTT WALROND DDS PA","","","","25","Ground water","PO BOX 515
PLEASANT GARDEN, NC 27313","336-674-2328","",""
"B-J`S CONVENIENCE STORE","","","","50","Ground water","164 WARREN LN
BELHAVEN, NC 27810","252-964-2522","",""
"BACK CREEK FRIENDS MEETING","","","","25","Ground water","139 BACK CREEK CHURCH RD
ASHEBORO, NC 27203","","",""
"BACK CREEK PRESBYTERIAN CHURCH","","","","160","Ground water","2145 BACK CREEK CHURCH RD
MOUNT ULLA, NC 28125","704-278-2798","",""
"BACKWOODS-SADDLEBROOK COMM WS","","","","113","Ground water","417-D CARATOKE HWY
MOYOCK, NC 27958","252-435-2718","",""
"BADIN GROUP CAMP-REC AREA","","","","100","Ground water","160-A ZILLICOA ST
US FOREST SERVICE - ASHEVILLE
ASHEVILLE, NC 28801-1082","828-257-4231","",""
"BADIN LAKE C.G.-UPPER LOOP","","","","100","Ground water","160-A ZILLICOA ST
US FOREST SERVICE - ASHEVILLE
ASHEVILLE, NC 28801-1082","828-257-4231","",""
"BADIN SHORES RESORT","","","","2,743","Surface water purchased","NO 1 CLUB HOUSE DR.
NEW LONDON, NC 28127","336-461-3833","",""
"BAHAMA BAPTIST CHURCH","","","","110","Ground water","10703 QUAIL ROOST ROAD
BAHAMA, NC 27503","","",""
"BAHIA BAY S/D","","","","350","Ground water","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"BAILEY BROS AG PARTNERSHIP","","","","40","Ground water","3805 BULL HEAD ROAD
BAILEY, NC 27807","","",""
"BAILEY FARMS SUBDIVISION","","","","25","Ground water","4700 HOMEWOOD CT SUITE 108
C/O OLD NORTH STATE WATER CO
RALEIGH, NC 27609","919-971-3469","",""
"BAILEY MHP  NO 1","","","","94","Ground water","130 BAILEY LN
PILOT MTN, NC 27041","","",""
"BAILEY, TOWN OF","","","","568","Ground water","PO BOX 670
ENVIROLINK
BAILEY, NC 27807","252-235-4900","",""
"BAILEYS GROVE BAPTIST SCHOOL","","","","90","Ground water","622 PLEASANT CROSS RD
ASHEBORO, NC 27203","336-672-9318","",""
"BAILEYTOWN CHRISTIAN CHURCH","","","","25","Ground water","1114 BAILEYTOWN CHURCH ROAD
WALNUT COVE, NC 27052","336-591-7349","",""
"BAILEY`S LANDING S/D","","","","114","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"BAKERS MARKET & TIRE SERVICE","","","","150","Ground water","4189 SUGAR HILL ROAD
MARION, NC 28702","828-738-4999","",""
"BAKERSVILLE, TOWN OF","","","","725","Ground water","PO BOX 53
TOWN OF BAKERSVILLE
BAKERSVILLE, NC 28705","828-688-2113","",""
"BALD CREEK CHILD DEVELOPMENT","","","","25","Ground water","PO BOX 190
BURNSVILLE, NC 28714","828-284-2356","",""
"BALD CREEK ELEM SCHOOL","","","","178","Ground water","PO BOX 190
BURNSVILLE, NC 28714","828-284-2356","",""
"BALLARD FARMS S/D","","","","125","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"BALLOU MHP","","","","95","Ground water","1803 N MORRIS RD
MOREHEAD CITY, NC 28557","252-726-2138","",""
"BALLOUGH HILLS","","","","132","Ground water","PO BOX 954
ATTN ENVIRONMENTAL INC - CULLOWHEE
CULLOWHEE, NC 28723","828-586-5588","",""
"BALLS CRK INDEPENDENT BAPTIST","","","","35","Ground water","3695 BALLS CREEK RD
NEWTON, NC 28658","828-228-4407","",""
"BALSAM CENTER FOR HOPE & RECOVERY","","","","25","Groundwater under influence of surface water","28A OAK ST
C/O EVERGREEN FOUNDATION
WAYNESVILLE, NC 28786","828-550-6795","",""
"BALSAM LAKE DAY USE AREA","","","","25","Ground water","90 SLOAN RD
C/O USFS NANTAHALA RANGER DISTRICT
FRANKLIN, NC 28734","828-524-6441","",""
"BALSAM MISSIONARY BAPTIST CH","","","","150","Ground water","P O BOX 159
BALSAM, NC 28707","828-586-5451","",""
"BALSAM MOUNTAIN CAMPGROUND","","","","25","Ground water","107 PARK HEADQUARTERS RD
GATLINBURG, TN 37738","865-436-1237","",""
"BALSAM MOUNTAIN INN","","","","80","Ground water","PO BOX 40
BALSAM, NC 28707","828-456-9498","",""
"BALTIMORE METHODIST CHURCH","","","","25","Ground water","2024 BALTIMORE RD
EAST BEND, NC 27018","","",""
"BANDITS ROOST PARK AREA A","","","","142","Ground water","499 RESERVOIR RD
WILKESBORO, NC 28697","336-921-3390","",""
"BANDITS ROOST PARK AREA B","","","","102","Ground water","499 RESERVOIR RD
WILKESBORO, NC 28697","336-921-3390","",""
"BANK OF OAK RIDGE OPERATIONS CENTER","","","","35","Ground water","2835 OAK RIDGE ROAD
OAK RIDGE, NC 27310","336-314-7010","",""
"BANKS UNITED METHODIST CHURCH","","","","75","Ground water","3604 Brassfield Road
CREEDMOOR, NC 27522","","",""
"BANNER ELK, TOWN OF","","","","1,407","Ground water","PO BOX 2049
BANNER ELK, NC 28604","828-898-5398","",""
"BANNER GREENHOUSES","","","","50","Ground water","2239 S CREEK RD
NEBO, NC 28761","828-659-3335","",""
"BANNERTOWN HILLS S/D","","","","71","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"BAPTIST GROVE CHURCH","","","","100","Ground water","7109 LEESVILLE RD
RALEIGH, NC 27613","919-787-4528","",""
"BAPTIST UNION MISSIONARY BAPTIST CHURCH","","","","125","Ground water","PO BOX 250
HOPE MILLS, NC 28348","910-484-7620","",""
"BAR S RANCH","","","","25","Ground water","5111 NOVELLA DR
KERNERSVILLE, NC 27284","336-394-4722","",""
"BARBEE`S GROVE CHURCH","","","","25","Ground water","24895 BARBEE'S GROVE RD
OAKBORO, NC 28129","704-485-4446","",""
"BARCLAY DOWNS S/D","","","","314","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"BAREFOOT LANDING CAMPGROUND","","","","110","Ground water","34 LAKESIDE DR
MARION, NC 28752","828-652-6139","",""
